0 -1108 -43 18895 81 639 161
1 5528 54 12824 208 -3412 52
2 -1136 -103 15823 165 -125 138
3 4560 -15 14055 -29 8729 232
4 2330 -29 15972 366 -9828 -29
5 -849 -136 16381 116 696 148
6 7041 53 13049 53 4954 198
7 -1149 -981 2437 321 -6353 62
8 -1100 -34 16118 157 -72 119
9 5727 32 12869 -107 12695 260
10 3584 -26 14452 331 -7737 8
11 -1148 -82 15824 159 -102 121
12 -1112 -105 15878 164 -98 128
13 -1355 -150 17368 110 1846 153
14 5221 643 12931 206 -4487 75
15 -1098 -82 15913 167 -108 136
16 -1097 -95 15744 158 -86 127
17 -1145 -284 16258 55 325 145
18 7572 57 12889 62 3512 147
19 -247 53 15296 286 -5264 66
20 -1128 -84 15809 152 -99 124
21 -1112 -120 15872 115 136 110
22 5551 225 11878 25 7032 147
23 1224 39 15642 275 -4783 97
24 -1104 -239 16277 153 -52 114
25 2983 -20 15631 76 5456 167
26 3710 29 15366 240 -4121 85
27 -1126 -129 15847 236 -108 125
28 1190 -6 16078 102 3247 154
29 5839 3 13938 89 2385 89
30 451 -42 15910 286 -4449 82
31 -13 -40 15743 96 3587 162
32 5158 -25 13747 106 1556 67
33 -60 -100 16020 266 -4413 78
34 1165 -35 15481 100 3649 158
35 5567 57 13930 85 3530 138
36 2004 -21 15790 270 -3556 107
37 -1139 -162 15955 179 -120 122
38 4099 0 15633 85 3851 141
39 4217 -17 15136 232 -3956 51
40 -1015 -93 15566 211 -2823 96
41 2849 -33 15117 59 4751 150
42 3651 -78 15573 263 -5427 8
43 -1147 -61 16174 238 -3062 90
44 2087 -32 15283 89 3095 158
45 4861 55 14006 107 798 132
46 -480 -67 16063 277 -4570 71
47 1049 -112 15624 68 4368 208
48 5551 -18 13843 104 2326 86
49 1398 19 16016 258 -3730 150
50 228 -13 15984 129 3424 153
51 5026 33 14478 72 3515 88
52 2040 -49 15555 288 -4633 115
53 -1172 -81 15814 166 -103 126
54 3802 201 15312 83 3310 170
55 2409 -22 15497 282 -4375 90
56 -1152 -37 15847 162 -104 173
57 2735 -98 15794 69 3612 145
58 2759 -36 15582 276 -3997 97
59 -1162 -48 15876 164 -105 198
